Names,Rating,Rating Score,Number of Ratings,Discount %,Discount Price,Normal Price,Release Date,Win,Linux,Mac,Scrape Time
Sid Meier’s Civilization® VI,Mixed,4,"43,092",-70%,"17,99","59,99","20 Oct, 2016",True,True,True,2019-10-17 00:00:30.786602
POSTAL 4: No Regerts,Very Positive,7,"1,183",-10%,"15,11","16,79","14 Oct, 2019",True,False,False,2019-10-17 00:00:30.786602
Hell Let Loose,Mostly Positive,5,"3,877",-20%,"23,99","29,99","6 Jun, 2019",True,False,False,2019-10-17 00:00:30.786602
STEINS;GATE SERIES BUNDLE,Overwhelmingly Positive,8,"8,044",-64%,"42,09","116,97",,True,False,False,2019-10-17 00:00:30.786602
Wolfenstein II: The New Colossus,Mostly Positive,5,"10,261",-60%,"23,99","59,99","26 Oct, 2017",True,False,False,2019-10-17 00:00:30.786602
Ancestors Legacy,Mostly Positive,5,"1,745",-66%,"10,20","29,99","22 May, 2018",True,False,False,2019-10-17 00:00:30.786602
The Escapists 2,Very Positive,7,"6,111",-70%,"5,99","19,99","21 Aug, 2017",True,True,True,2019-10-17 00:00:30.786602
Rebel Inc: Escalation,Very Positive,7,125,-10%,"13,49","14,99","15 Oct, 2019",True,False,False,2019-10-17 00:00:30.786602
IL-2 Sturmovik: Battle of Stalingrad,Mostly Positive,5,"1,918",-75%,"11,74","46,99","22 Oct, 2014",True,False,False,2019-10-17 00:00:30.786602
Battle Brothers,Very Positive,7,"6,833",-67%,"9,24","27,99","24 Mar, 2017",True,False,False,2019-10-17 00:00:30.786602
Overcooked! 2,Very Positive,7,"6,439",-40%,"13,79","22,99","7 Aug, 2018",True,True,True,2019-10-17 00:00:30.786602
Wolfenstein: The Two Pack,Very Positive,7,"27,766",-50%,"14,99","29,99","4 May, 2015",True,False,False,2019-10-17 00:00:30.786602
Wolfenstein: The New Order,Very Positive,7,"22,037",-50%,"9,99","19,99","19 May, 2014",True,False,False,2019-10-17 00:00:30.786602
STEINS;GATE 0,Overwhelmingly Positive,8,"1,627",-60%,"11,99","29,99","8 May, 2018",True,False,False,2019-10-17 00:00:30.786602
STEINS;GATE,Overwhelmingly Positive,8,"5,997",-60%,"10,79","26,99","9 Sep, 2016",True,False,False,2019-10-17 00:00:30.786602
Sid Meier's Civilization VI : Platinum Edition,Mixed,4,"49,623",-72%,"47,75","167,91",,True,True,True,2019-10-17 00:00:30.786602
Worms W.M.D,Mostly Positive,5,"2,271",-75%,"7,49","29,99","23 Aug, 2016",True,True,True,2019-10-17 00:00:30.786602
We Were Here Together,Very Positive,7,277,-5%,"12,34","12,99","10 Oct, 2019",True,False,True,2019-10-17 00:00:30.786602
DiRT Rally 2.0,Mixed,4,"2,212",-60%,"21,99","54,99","25 Feb, 2019",True,False,False,2019-10-17 00:00:30.786602
Ancestors Legacy - Complete Edition,Mostly Positive,5,"1,799",-73%,"13,53","50,96",,True,False,False,2019-10-17 00:00:30.786602
Forager,Very Positive,7,"6,088",-20%,"15,99","19,99","18 Apr, 2019",True,False,False,2019-10-17 00:00:30.786602
Wolfenstein: Youngblood,Mixed,4,"3,910",-20%,"23,99","29,99","25 Jul, 2019",True,False,False,2019-10-17 00:00:30.786602
Golf With Your Friends,Very Positive,7,"15,377",-35%,"4,54","6,99","29 Jan, 2016",True,True,True,2019-10-17 00:00:30.786602
